"Age Group",Population,"% of Total Population"
"Under 5 years","78,202",5.64%
"5 to 9 years","74,181",5.35%
"10 to 14 years","75,905",5.48%
"15 to 19 years","82,809",5.98%
"20 to 24 years","108,799",7.85%
"25 to 29 years","135,910",9.81%
"30 to 34 years","127,218",9.18%
"35 to 39 years","106,186",7.66%
"40 to 44 years","91,903",6.63%
"45 to 49 years","87,577",6.32%
"50 to 54 years","81,496",5.88%
"55 to 59 years","79,061",5.71%
"60 to 64 years","72,365",5.22%
"65 to 69 years","61,278",4.42%
"70 to 74 years","48,930",3.53%
"75 to 79 years","30,065",2.17%
"80 to 84 years","20,857",1.51%
"85 years and over","22,656",1.64%
Resource id #6