,prename,week_end,sex,age,rV
371,British Columbia,2021-11-20,All sexes,60–69,0.0013369376781359268
372,British Columbia,2021-11-20,All sexes,70–79,0.0018306570036045575
373,British Columbia,2021-11-20,All sexes,80+,0.00293698176956676
374,British Columbia,2021-11-27,All sexes,0–4,0.0
375,British Columbia,2021-11-27,All sexes,05–11,0.0
376,British Columbia,2021-11-27,All sexes,12–17,0.0014338166322729344
377,British Columbia,2021-11-27,All sexes,18–29,0.0030566524644608474
378,British Columbia,2021-11-27,All sexes,30–39,0.002695382776828801
379,British Columbia,2021-11-27,All sexes,40–49,0.002147238799302829
380,British Columbia,2021-11-27,All sexes,50–59,0.0011934348251981571
381,British Columbia,2021-11-27,All sexes,60–69,0.0014015808186172245
382,British Columbia,2021-11-27,All sexes,70–79,0.0014509040287869267
383,British Columbia,2021-11-27,All sexes,80+,0.003162541969469487
384,British Columbia,2021-12-04,All sexes,0–4,0.0
385,British Columbia,2021-12-04,All sexes,05–11,0.11171725518353463
386,British Columbia,2021-12-04,All sexes,12–17,0.0011849566026394477
387,British Columbia,2021-12-04,All sexes,18–29,0.0027114567398769268
388,British Columbia,2021-12-04,All sexes,30–39,0.0026213409366942267
389,British Columbia,2021-12-04,All sexes,40–49,0.002062439523730926
390,British Columbia,2021-12-04,All sexes,50–59,0.0012205259383149612
391,British Columbia,2021-12-04,All sexes,60–69,0.001416272441453883
392,British Columbia,2021-12-04,All sexes,70–79,0.0017171438861318961
393,British Columbia,2021-12-04,All sexes,80+,0.002885290890422385
394,British Columbia,2021-12-11,All sexes,0–4,0.0
395,British Columbia,2021-12-11,All sexes,05–11,0.16194609685558306
396,British Columbia,2021-12-11,All sexes,12–17,0.0010892412066265682
397,British Columbia,2021-12-11,All sexes,18–29,0.0027448627777398866
398,British Columbia,2021-12-11,All sexes,30–39,0.0022537296953243227
399,British Columbia,2021-12-11,All sexes,40–49,0.0020245827042791836
400,British Columbia,2021-12-11,All sexes,50–59,0.00115493692761112
401,British Columbia,2021-12-11,All sexes,60–69,0.001466223959098522
402,British Columbia,2021-12-11,All sexes,70–79,0.0016242695172906277
403,British Columbia,2021-12-11,All sexes,80+,0.0023871787823038625
404,British Columbia,2021-12-18,All sexes,0–4,0.0
405,British Columbia,2021-12-18,All sexes,05–11,0.1251308669509304
406,British Columbia,2021-12-18,All sexes,12–17,0.0011026413620683715
407,British Columbia,2021-12-18,All sexes,18–29,0.002627941645219526
408,British Columbia,2021-12-18,All sexes,30–39,0.0025408041983022334
409,British Columbia,2021-12-18,All sexes,40–49,0.0019700688842686745
410,British Columbia,2021-12-18,All sexes,50–59,0.0010779411324370453
411,British Columbia,2021-12-18,All sexes,60–69,0.0018202920694619928
412,British Columbia,2021-12-18,All sexes,70–79,0.001904956498677572
413,British Columbia,2021-12-18,All sexes,80+,0.003162541969469487
414,British Columbia,2021-12-25,All sexes,0–4,0.0
415,British Columbia,2021-12-25,All sexes,05–11,0.07967139860167911
416,British Columbia,2021-12-25,All sexes,12–17,0.0012098426056027965
417,British Columbia,2021-12-25,All sexes,18–29,0.009238161387352752
418,British Columbia,2021-12-25,All sexes,30–39,0.0029733644222463256
419,British Columbia,2021-12-25,All sexes,40–49,0.002884689642222771
420,British Columbia,2021-12-25,All sexes,50–59,0.0024424777246887016
421,British Columbia,2021-12-25,All sexes,60–69,0.0026679987071371904
422,British Columbia,2021-12-25,All sexes,70–79,0.0021588131068437056
423,British Columbia,2021-12-25,All sexes,80+,0.004591089902186759
424,British Columbia,2022-01-01,All sexes,0–4,0.0
425,British Columbia,2022-01-01,All sexes,05–11,0.04522681599204168
426,British Columbia,2022-01-01,All sexes,12–17,0.00022780264251065312
427,British Columbia,2022-01-01,All sexes,18–29,0.0014239323639086735
428,British Columbia,2022-01-01,All sexes,30–39,0.0016458072184299232
429,British Columbia,2022-01-01,All sexes,40–49,0.0011084476735470175
430,British Columbia,2022-01-01,All sexes,50–59,0.0006986655488017886
431,British Columbia,2022-01-01,All sexes,60–69,0.0013780742220785708
432,British Columbia,2022-01-01,All sexes,70–79,0.0014364569047449515
433,British Columbia,2022-01-01,All sexes,80+,0.0027678116196397148
434,British Columbia,2022-01-08,All sexes,0–4,0.0
435,British Columbia,2022-01-08,All sexes,05–11,0.0712277225339853
436,British Columbia,2022-01-08,All sexes,12–17,0.0006183214582432013
437,British Columbia,2022-01-08,All sexes,18–29,0.0021769601340695653
438,British Columbia,2022-01-08,All sexes,30–39,0.0020393980528295025
439,British Columbia,2022-01-08,All sexes,40–49,0.0015157870508477657
440,British Columbia,2022-01-08,All sexes,50–59,0.000986686856675179
441,British Columbia,2022-01-08,All sexes,60–69,0.0012326271559956513
442,British Columbia,2022-01-08,All sexes,70–79,0.0015664810211227273
443,British Columbia,2022-01-08,All sexes,80+,0.0024623655156047713
444,British Columbia,2022-01-15,All sexes,0–4,0.0
445,British Columbia,2022-01-15,All sexes,05–11,0.052779995106278
446,British Columbia,2022-01-15,All sexes,12–17,0.0011390132125532657
447,British Columbia,2022-01-15,All sexes,18–29,0.003589757152023919
448,British Columbia,2022-01-15,All sexes,30–39,0.0030539011606383185
449,British Columbia,2022-01-15,All sexes,40–49,0.002269894894326474
450,British Columbia,2022-01-15,All sexes,50–59,0.001253320443666882
451,British Columbia,2022-01-15,All sexes,60–69,0.0017688713895336878
452,British Columbia,2022-01-15,All sexes,70–79,0.0018120821298363038
453,British Columbia,2022-01-15,All sexes,80+,0.0033552079735530665
454,British Columbia,2022-01-22,All sexes,0–4,0.0
455,British Columbia,2022-01-22,All sexes,05–11,0.038556111336186666
456,British Columbia,2022-01-22,All sexes,12–17,0.0010547836640619316
457,British Columbia,2022-01-22,All sexes,18–29,0.0030009757346892473
458,British Columbia,2022-01-22,All sexes,30–39,0.0024122052128053412
459,British Columbia,2022-01-22,All sexes,40–49,0.001977640248159023
460,British Columbia,2022-01-22,All sexes,50–59,0.0012133966980210655
461,British Columbia,2022-01-22,All sexes,60–69,0.0014339023888578733
462,British Columbia,2022-01-22,All sexes,70–79,0.0015623532713964488
463,British Columbia,2022-01-22,All sexes,80+,0.0031531436278068735
464,British Columbia,2022-01-30,All sexes,0–4,0.0
465,British Columbia,2022-01-30,All sexes,05–11,0.026410053790829485
466,British Columbia,2022-01-30,All sexes,12–17,0.0008499527165943696
467,British Columbia,2022-01-30,All sexes,18–29,0.002195055071245335
468,British Columbia,2022-01-30,All sexes,30–39,0.0022511317360213554
469,British Columbia,2022-01-30,All sexes,40–49,0.0014900444136205808
470,British Columbia,2022-01-30,All sexes,50–59,0.000854082987208717
471,British Columbia,2022-01-30,All sexes,60–69,0.0012208738577263244
472,British Columbia,2022-01-30,All sexes,70–79,0.0013972432823453047
473,British Columbia,2022-01-30,All sexes,80+,0.0030450626986868166
474,British Columbia,2022-02-06,All sexes,0–4,0.0
475,British Columbia,2022-02-06,All sexes,05–11,0.018560042358774002
476,British Columbia,2022-02-06,All sexes,12–17,0.0007772090156245812
477,British Columbia,2022-02-06,All sexes,18–29,0.0019653885609374846
478,British Columbia,2022-02-06,All sexes,30–39,0.0016536010963388258
479,British Columbia,2022-02-06,All sexes,40–49,0.001434016320832002
480,British Columbia,2022-02-06,All sexes,50–59,0.0004733815555146812
481,British Columbia,2022-02-06,All sexes,60–69,0.0010401668968354244
482,British Columbia,2022-02-06,All sexes,70–79,0.0014075626566610014
483,British Columbia,2022-02-06,All sexes,80+,0.0030779568945059643
484,British Columbia,2022-02-13,All sexes,0–4,0.0
485,British Columbia,2022-02-13,All sexes,05–11,0.010730087164409003
486,British Columbia,2022-02-13,All sexes,12–17,0.0006814936196117018
487,British Columbia,2022-02-13,All sexes,18–29,0.001210968872532303
488,British Columbia,2022-02-13,All sexes,30–39,0.0013158663869530483
489,British Columbia,2022-02-13,All sexes,40–49,0.001050905307980369
490,British Columbia,2022-02-13,All sexes,50–59,0.0004676781632795646
491,British Columbia,2022-02-13,All sexes,60–69,0.0007801251726265683
492,British Columbia,2022-02-13,All sexes,70–79,0.0013353270364511258
493,British Columbia,2022-02-13,All sexes,80+,0.0027678116196397148
494,British Columbia,2022-02-20,All sexes,0–4,0.0
495,British Columbia,2022-02-20,All sexes,05–11,0.0075251003814696404
496,British Columbia,2022-02-20,All sexes,12–17,0.00042114774245666963
497,British Columbia,2022-02-20,All sexes,18–29,0.005873894990903814
498,British Columbia,2022-02-20,All sexes,30–39,0.0033682542362973886
499,British Columbia,2022-02-20,All sexes,40–49,0.002524292721042183
500,British Columbia,2022-02-20,All sexes,50–59,0.0015498968398929473
501,British Columbia,2022-02-20,All sexes,60–69,0.0021567302324214735
502,British Columbia,2022-02-20,All sexes,70–79,0.0019090842484038508
503,British Columbia,2022-02-20,All sexes,80+,0.003745239152551532
504,British Columbia,2022-02-27,All sexes,0–4,0.0
505,British Columbia,2022-02-27,All sexes,05–11,0.0022342648787199307
506,British Columbia,2022-02-27,All sexes,12–17,0.0
507,British Columbia,2022-02-27,All sexes,18–29,0.0007641631161152118
508,British Columbia,2022-02-27,All sexes,30–39,0.0011586898491235135
509,British Columbia,2022-02-27,All sexes,40–49,0.00038311101285163306
510,British Columbia,2022-02-27,All sexes,50–59,0.0005475256545711976
511,British Columbia,2022-02-27,All sexes,60–69,0.00032615402697381955
512,British Columbia,2022-02-27,All sexes,70–79,0.0013827961583033298
513,British Columbia,2022-02-27,All sexes,80+,0.002358983757316022
514,British Columbia,2022-03-06,All sexes,0–4,0.0
515,British Columbia,2022-03-06,All sexes,05–11,0.0010148456271384964
516,British Columbia,2022-03-06,All sexes,12–17,0.0
517,British Columbia,2022-03-06,All sexes,18–29,0.0007112702228321917
518,British Columbia,2022-03-06,All sexes,30–39,0.0007586041164665155
519,British Columbia,2022-03-06,All sexes,40–49,0.0006359945667892723
520,British Columbia,2022-03-06,All sexes,50–59,0.00016825007093594093
521,British Columbia,2022-03-06,All sexes,60–69,0.00044956365880175126
522,British Columbia,2022-03-06,All sexes,70–79,0.0013580296599456582
523,British Columbia,2022-03-06,All sexes,80+,0.0028382991821093166
524,British Columbia,2022-03-13,All sexes,0–4,0.0
525,British Columbia,2022-03-13,All sexes,05–11,0.00021660736705722848
526,British Columbia,2022-03-13,All sexes,12–17,0.0
527,British Columbia,2022-03-13,All sexes,18–29,0.0005247531780973312
528,British Columbia,2022-03-13,All sexes,30–39,0.0007819857501932232
529,British Columbia,2022-03-13,All sexes,40–49,0.0005996520201155996
530,British Columbia,2022-03-13,All sexes,50–59,0.0001183453888786703
531,British Columbia,2022-03-13,All sexes,60–69,0.0005994182117356683
532,British Columbia,2022-03-13,All sexes,70–79,0.0011268756752740568
533,British Columbia,2022-03-13,All sexes,80+,0.002861795036265851
534,British Columbia,2022-03-20,All sexes,0–4,0.0
535,British Columbia,2022-03-20,All sexes,05–11,0.00014440491137148565
536,British Columbia,2022-03-20,All sexes,12–17,0.0
537,British Columbia,2022-03-20,All sexes,18–29,5.1500975038730126e-05
538,British Columbia,2022-03-20,All sexes,30–39,0.0004624367559282184
539,British Columbia,2022-03-20,All sexes,40–49,0.00042551065063758454
540,British Columbia,2022-03-20,All sexes,50–59,1.7110176705349924e-05
541,British Columbia,2022-03-20,All sexes,60–69,0.0004289953868304293
542,British Columbia,2022-03-20,All sexes,70–79,0.0013229437872722901
543,British Columbia,2022-03-20,All sexes,80+,0.0028476975237719305
544,British Columbia,2022-03-27,All sexes,0–4,0.0
545,British Columbia,2022-03-27,All sexes,05–11,0.00045728221934303786
546,British Columbia,2022-03-27,All sexes,12–17,0.0
547,British Columbia,2022-03-27,All sexes,18–29,0.00012805647847468032
548,British Columbia,2022-03-27,All sexes,30–39,0.0005793449245617568
549,British Columbia,2022-03-27,All sexes,40–49,0.0007117082056927571
550,British Columbia,2022-03-27,All sexes,50–59,8.840257964430795e-05
551,British Columbia,2022-03-27,All sexes,60–69,0.000622924808274322
552,British Columbia,2022-03-27,All sexes,70–79,0.0011330672998634747
553,British Columbia,2022-03-27,All sexes,80+,0.002777209961302328
554,British Columbia,2022-04-03,All sexes,0–4,0.0
555,British Columbia,2022-04-03,All sexes,05–11,0.0
556,British Columbia,2022-04-03,All sexes,12–17,0.0
557,British Columbia,2022-04-03,All sexes,18–29,0.0
558,British Columbia,2022-04-03,All sexes,30–39,0.0004117765495203518
559,British Columbia,2022-04-03,All sexes,40–49,0.0005103099262094875
560,British Columbia,2022-04-03,All sexes,50–59,0.0
561,British Columbia,2022-04-03,All sexes,60–69,0.000581788264331678
562,British Columbia,2022-04-03,All sexes,70–79,0.0009493824370440772
563,British Columbia,2022-04-03,All sexes,80+,0.0030497618695181235
564,British Columbia,2022-04-10,All sexes,0–4,0.0
565,British Columbia,2022-04-10,All sexes,05–11,0.0012595317269624025
566,British Columbia,2022-04-10,All sexes,12–17,0.0
567,British Columbia,2022-04-10,All sexes,18–29,0.00018651704473486046
568,British Columbia,2022-04-10,All sexes,30–39,0.0007819857501932232
569,British Columbia,2022-04-10,All sexes,40–49,0.0004557961061989785
570,British Columbia,2022-04-10,All sexes,50–59,9.980936411454123e-05
571,British Columbia,2022-04-10,All sexes,60–69,0.00046425528163840976
572,British Columbia,2022-04-10,All sexes,70–79,0.0013064327883671757
573,British Columbia,2022-04-10,All sexes,80+,0.003092054406999885
574,British Columbia,2022-04-24,All sexes,0–4,0.0
575,British Columbia,2022-04-24,All sexes,05–11,0.000954676914067044
576,British Columbia,2022-04-24,All sexes,12–17,0.0
577,British Columbia,2022-04-24,All sexes,18–29,0.0
578,British Columbia,2022-04-24,All sexes,30–39,0.0010703592328226178
579,British Columbia,2022-04-24,All sexes,40–49,0.0008979637573953297
580,British Columbia,2022-04-24,All sexes,50–59,1.1406784470233283e-05
581,British Columbia,2022-04-24,All sexes,60–69,0.0010607351688067463
582,British Columbia,2022-04-24,All sexes,70–79,0.0024209252144623966
583,British Columbia,2022-04-24,All sexes,80+,0.0057517850975195425
584,British Columbia,2022-05-08,All sexes,0–4,0.0
585,British Columbia,2022-05-08,All sexes,05–11,0.0
586,British Columbia,2022-05-08,All sexes,12–17,0.0
587,British Columbia,2022-05-08,All sexes,18–29,0.0
588,British Columbia,2022-05-08,All sexes,30–39,0.0009521520845375957
589,British Columbia,2022-05-08,All sexes,40–49,0.0010221341251970449
590,British Columbia,2022-05-08,All sexes,50–59,9.125427576186627e-05
591,British Columbia,2022-05-08,All sexes,60–69,0.0011371316075573707
592,British Columbia,2022-05-08,All sexes,70–79,0.002435372338504372
593,British Columbia,2022-05-08,All sexes,80+,0.005812874318326531
594,British Columbia,2022-05-22,All sexes,0–4,0.0
595,British Columbia,2022-05-22,All sexes,05–11,0.0
596,British Columbia,2022-05-22,All sexes,12–17,0.0
597,British Columbia,2022-05-22,All sexes,18–29,0.0
598,British Columbia,2022-05-22,All sexes,30–39,0.0008248520786921873
599,British Columbia,2022-05-22,All sexes,40–49,0.0010630194902049265
600,British Columbia,2022-05-22,All sexes,50–59,0.0
601,British Columbia,2022-05-22,All sexes,60–69,0.0011371316075573707
602,British Columbia,2022-05-22,All sexes,70–79,0.002431244588778093
603,British Columbia,2022-05-22,All sexes,80+,0.006616432530479997
604,British Columbia,2022-06-19,All sexes,0–4,0.0
605,British Columbia,2022-06-19,All sexes,05–11,0.0
606,British Columbia,2022-06-19,All sexes,12–17,0.0
607,British Columbia,2022-06-19,All sexes,18–29,0.0
608,British Columbia,2022-06-19,All sexes,30–39,0.0014496612910558757
609,British Columbia,2022-06-19,All sexes,40–49,0.0015127585052916261
610,British Columbia,2022-06-19,All sexes,50–59,0.0
611,British Columbia,2022-06-19,All sexes,60–69,0.0018540828019863074
612,British Columbia,2022-06-19,All sexes,70–79,0.004282540341014044
613,British Columbia,2022-06-19,All sexes,80+,0.012006381473988914
614,British Columbia,2022-07-17,All sexes,0–4,0.0
615,British Columbia,2022-07-17,All sexes,05–11,0.0
616,British Columbia,2022-07-17,All sexes,12–17,0.0
617,British Columbia,2022-07-17,All sexes,18–29,0.0
618,British Columbia,2022-07-17,All sexes,30–39,0.0012327316892580878
619,British Columbia,2022-07-17,All sexes,40–49,0.0013234744080329141
620,British Columbia,2022-07-17,All sexes,50–59,0.0
621,British Columbia,2022-07-17,All sexes,60–69,0.0019128492933329416
622,British Columbia,2022-07-17,All sexes,70–79,0.004286668090740322
623,British Columbia,2022-07-17,All sexes,80+,0.01238231514049346
624,British Columbia,2022-08-14,All sexes,0–4,0.04140400956798689
625,British Columbia,2022-08-14,All sexes,05–11,0.0
626,British Columbia,2022-08-14,All sexes,12–17,0.0
627,British Columbia,2022-08-14,All sexes,18–29,0.0
628,British Columbia,2022-08-14,All sexes,30–39,0.0028863327855969136
629,British Columbia,2022-08-14,All sexes,40–49,0.0051318704448781996
630,British Columbia,2022-08-14,All sexes,50–59,0.0
631,British Columbia,2022-08-14,All sexes,60–69,0.006744924044309934
632,British Columbia,2022-08-14,All sexes,70–79,0.015514147346218103
633,British Columbia,2022-08-14,All sexes,80+,0.041667547761197535
634,British Columbia,2022-09-11,All sexes,0–4,0.03920583946750541
635,British Columbia,2022-09-11,All sexes,05–11,0.009462532942370407
636,British Columbia,2022-09-11,All sexes,12–17,0.0005302632939113522
637,British Columbia,2022-09-11,All sexes,18–29,0.0005428481152731014
638,British Columbia,2022-09-11,All sexes,30–39,0.00047672553209453976
639,British Columbia,2022-09-11,All sexes,40–49,0.0003422256478437513
640,British Columbia,2022-09-11,All sexes,50–59,0.0002552268025214697
641,British Columbia,2022-09-11,All sexes,60–69,0.0003232157024064878
642,British Columbia,2022-09-11,All sexes,70–79,0.0002827508562500838
643,British Columbia,2022-09-11,All sexes,80+,0.00023495854156534079
644,British Columbia,2022-10-09,All sexes,0–4,0.016188928094728355
645,British Columbia,2022-10-09,All sexes,05–11,0.007970348858198388
646,British Columbia,2022-10-09,All sexes,12–17,0.0012462144560876907
647,British Columbia,2022-10-09,All sexes,18–29,0.0013459849422284332
648,British Columbia,2022-10-09,All sexes,30–39,0.0
649,British Columbia,2022-10-09,All sexes,40–49,0.0
650,British Columbia,2022-10-09,All sexes,50–59,0.0006758519798613221
651,British Columbia,2022-10-09,All sexes,60–69,0.0
652,British Columbia,2022-10-09,All sexes,70–79,0.0
653,British Columbia,2022-10-09,All sexes,80+,0.0
654,British Columbia,2022-11-06,All sexes,0–4,0.01788931618848758
655,British Columbia,2022-11-06,All sexes,05–11,0.0
656,British Columbia,2022-11-06,All sexes,12–17,0.0
657,British Columbia,2022-11-06,All sexes,18–29,0.0
658,British Columbia,2022-11-06,All sexes,30–39,0.0007573051368150317
659,British Columbia,2022-11-06,All sexes,40–49,0.0009252206674005842
660,British Columbia,2022-11-06,All sexes,50–59,0.0
661,British Columbia,2022-11-06,All sexes,60–69,0.002040666412011871
662,British Columbia,2022-11-06,All sexes,70–79,0.0038635737437967663
663,British Columbia,2022-11-06,All sexes,80+,0.01074230452036738
664,British Columbia,2022-12-04,All sexes,0–4,0.027034408630570862
665,British Columbia,2022-12-04,All sexes,05–11,0.0
666,British Columbia,2022-12-04,All sexes,12–17,0.0
667,British Columbia,2022-12-04,All sexes,18–29,0.0007474600971837318
668,British Columbia,2022-12-04,All sexes,30–39,0.003752752213136581
669,British Columbia,2022-12-04,All sexes,40–49,0.0028862039150008402
670,British Columbia,2022-12-04,All sexes,50–59,0.001030888146497333
671,British Columbia,2022-12-04,All sexes,60–69,0.004097493609144066
672,British Columbia,2022-12-04,All sexes,70–79,0.005931576356662343
673,British Columbia,2022-12-04,All sexes,80+,0.013171775840153005
674,British Columbia,2023-01-01,All sexes,0–4,0.02200813190782663
675,British Columbia,2023-01-01,All sexes,05–11,0.0
676,British Columbia,2023-01-01,All sexes,12–17,0.0
677,British Columbia,2023-01-01,All sexes,18–29,0.0
678,British Columbia,2023-01-01,All sexes,30–39,0.002355050108140056
679,British Columbia,2023-01-01,All sexes,40–49,0.002197209800979129
680,British Columbia,2023-01-01,All sexes,50–59,0.0
681,British Columbia,2023-01-01,All sexes,60–69,0.002418241118913995
682,British Columbia,2023-01-01,All sexes,70–79,0.005112218035996041
683,British Columbia,2023-01-01,All sexes,80+,0.012321225919686471
684,British Columbia,2023-01-29,All sexes,0–4,0.009109851238067549
685,British Columbia,2023-01-29,All sexes,05–11,0.0
686,British Columbia,2023-01-29,All sexes,12–17,0.0
687,British Columbia,2023-01-29,All sexes,18–29,0.0
688,British Columbia,2023-01-29,All sexes,30–39,0.0017029623230952087
689,British Columbia,2023-01-29,All sexes,40–49,0.002006411430942347
690,British Columbia,2023-01-29,All sexes,50–59,0.0
691,British Columbia,2023-01-29,All sexes,60–69,0.002352128816149032
692,British Columbia,2023-01-29,All sexes,70–79,0.004486863952464834
693,British Columbia,2023-01-29,All sexes,80+,0.010793995399511756
694,British Columbia,2023-02-26,All sexes,0–4,0.0020043434783949396
695,British Columbia,2023-02-26,All sexes,05–11,0.0
696,British Columbia,2023-02-26,All sexes,12–17,0.0
697,British Columbia,2023-02-26,All sexes,18–29,0.0
698,British Columbia,2023-02-26,All sexes,30–39,0.00041957042742925434
699,British Columbia,2023-02-26,All sexes,40–49,0.0011538758568891082
700,British Columbia,2023-02-26,All sexes,50–59,0.0
701,British Columbia,2023-02-26,All sexes,60–69,0.0015249904504451562
702,British Columbia,2023-02-26,All sexes,70–79,0.003896595741606995
703,British Columbia,2023-02-26,All sexes,80+,0.011809016299074028
704,British Columbia,2023-03-26,All sexes,0–4,0.0007576858863383067
705,British Columbia,2023-03-26,All sexes,05–11,0.0
706,British Columbia,2023-03-26,All sexes,12–17,0.0
707,British Columbia,2023-03-26,All sexes,18–29,0.0
708,British Columbia,2023-03-26,All sexes,30–39,0.00032864185182539116
709,British Columbia,2023-03-26,All sexes,40–49,0.001050905307980369
710,British Columbia,2023-03-26,All sexes,50–59,0.0
711,British Columbia,2023-03-26,All sexes,60–69,0.0017306731701583757
712,British Columbia,2023-03-26,All sexes,70–79,0.003927553864554084
713,British Columbia,2023-03-26,All sexes,80+,0.012363518457168233
714,British Columbia,2023-04-23,All sexes,0–4,0.0
715,British Columbia,2023-04-23,All sexes,05–11,0.0
716,British Columbia,2023-04-23,All sexes,12–17,0.0
717,British Columbia,2023-04-23,All sexes,18–29,0.0
718,British Columbia,2023-04-23,All sexes,30–39,0.00020264082563146649
719,British Columbia,2023-04-23,All sexes,40–49,0.0012189895863461053
720,British Columbia,2023-04-23,All sexes,50–59,0.0
721,British Columbia,2023-04-23,All sexes,60–69,0.0015235212881614902
722,British Columbia,2023-04-23,All sexes,70–79,0.0041710910984045215
723,British Columbia,2023-04-23,All sexes,80+,0.01266426539037187
724,British Columbia,2023-06-18,All sexes,0–4,0.0
725,British Columbia,2023-06-18,All sexes,05–11,0.0
726,British Columbia,2023-06-18,All sexes,12–17,0.0
727,British Columbia,2023-06-18,All sexes,18–29,0.0
728,British Columbia,2023-06-18,All sexes,30–39,0.00046503471523118593
729,British Columbia,2023-06-18,All sexes,40–49,0.0019988400670519985
730,British Columbia,2023-06-18,All sexes,50–59,0.0
731,British Columbia,2023-06-18,All sexes,60–69,0.002953016190168366
732,British Columbia,2023-06-18,All sexes,70–79,0.008323607323040789
733,British Columbia,2023-06-18,All sexes,80+,0.025586985176465613
734,British Columbia,2023-09-10,All sexes,0–4,0.0
735,British Columbia,2023-09-10,All sexes,05–11,0.0
736,British Columbia,2023-09-10,All sexes,12–17,0.0
737,British Columbia,2023-09-10,All sexes,18–29,0.0
738,British Columbia,2023-09-10,All sexes,30–39,0.0008196561600862523
739,British Columbia,2023-09-10,All sexes,40–49,0.0031799728339463613
740,British Columbia,2023-09-10,All sexes,50–59,0.0
741,British Columbia,2023-09-10,All sexes,60–69,0.0037728087444539125
742,British Columbia,2023-09-10,All sexes,70–79,0.011570082482758905
743,British Columbia,2023-09-10,All sexes,80+,0.03697307610072203
744,British Columbia,2023-12-03,All sexes,0–4,0.011347667693066733
745,British Columbia,2023-12-03,All sexes,05–11,0.0
746,British Columbia,2023-12-03,All sexes,12–17,0.0
747,British Columbia,2023-12-03,All sexes,18–29,0.0
748,British Columbia,2023-12-03,All sexes,30–39,0.0033461715822221644
749,British Columbia,2023-12-03,All sexes,40–49,0.005581609459964899
750,British Columbia,2023-12-03,All sexes,50–59,0.0
751,British Columbia,2023-12-03,All sexes,60–69,0.0059486380865630415
752,British Columbia,2023-12-03,All sexes,70–79,0.014981667631528165
753,British Columbia,2023-12-03,All sexes,80+,0.038923231995714354
